/hit (dt=0) X,/hit (dt=0) Y,/hit (dt=1e-10) X,/hit (dt=1e-10) Y,/hit (dt=2e-10) X,/hit (dt=2e-10) Y,/hit (dt=3e-10) X,/hit (dt=3e-10) Y,/hit (dt=4e-10) X,/hit (dt=4e-10) Y,/net8 (dt=0) X,/net8 (dt=0) Y,/net8 (dt=1e-10) X,/net8 (dt=1e-10) Y,/net8 (dt=2e-10) X,/net8 (dt=2e-10) Y,/net8 (dt=3e-10) X,/net8 (dt=3e-10) Y,/net8 (dt=4e-10) X,/net8 (dt=4e-10) Y
6.05323653937882e-09,0.3273985291798554,6.029133029249709e-09,0.2646018819036013,6.006276453221952e-09,0.218093316268434,5.794257827800293e-09,0.002420348818881406,5.881164350240561e-09,0.03208885177320672,6.05323653937882e-09,1.2,6.029133029249709e-09,1.2,6.006276453221952e-09,1.2,5.794257827800293e-09,1.2,5.881164350240561e-09,1.2
6.083310772300339e-09,0.471413693942391,6.063983735934701e-09,0.4215767145066546,6.042985709943952e-09,0.3700763245523008,5.862137942620795e-09,0.01733563804117304,5.955055086267945e-09,0.1262960412144649,6.083310772300339e-09,1.2,6.063983735934701e-09,1.2,6.042985709943952e-09,1.2,5.862137942620795e-09,1.2,5.955055086267945e-09,1.2
6.112013185833504e-09,0.6196175297524241,6.092665632710777e-09,0.5677034161773142,6.083236907612853e-09,0.5714249901543222,5.929809824724953e-09,0.06871082279410723,6.00799791290488e-09,0.2933850618855268,6.112013185833504e-09,1.2,6.092665632710777e-09,1.2,6.083236907612853e-09,1.2,5.929809824724953e-09,1.2,6.00799791290488e-09,1.2
6.143515147700416e-09,0.7681769886898625,6.123713171620132e-09,0.7246821558471782,6.116831535467717e-09,0.7391691191734761,5.985688401261535e-09,0.1847161994468311,6.047027004775866e-09,0.4782377571917142,6.143515147700416e-09,1.2,6.123713171620132e-09,1.2,6.116831535467717e-09,1.2,5.985688401261535e-09,1.2,6.047027004775866e-09,1.2
6.168560478641878e-09,0.8422563675849696,6.152095557714762e-09,0.8266269785982645,6.145458880778161e-09,0.8352280772786983,6.026681918478237e-09,0.3405034988288729,6.071498242391661e-09,0.6056180819497994,6.168560478641878e-09,1.2,6.152095557714762e-09,1.2,6.145458880778161e-09,1.2,6.026681918478237e-09,1.2,6.071498242391661e-09,1.2
6.189097005784747e-09,0.8684769406222446,6.172762267531758e-09,0.8615864592911523,6.166564460692127e-09,0.8659430214117418,6.064798644919707e-09,0.5273794605386519,6.1020687093309e-09,0.7546179345167705,6.189097005784747e-09,1.2,6.172762267531758e-09,1.2,6.166564460692127e-09,1.2,6.064798644919707e-09,1.2,6.1020687093309e-09,1.2
6.208168074294728e-09,0.8805551033985313,6.196660710654599e-09,0.8797309821818426,6.192199612180265e-09,0.8824814558202263,6.091735209017399e-09,0.6675401962329884,6.127713316900485e-09,0.8368136916780037,6.208168074294728e-09,1.2,6.196660710654599e-09,1.2,6.192199612180265e-09,1.2,6.091735209017399e-09,1.2,6.127713316900485e-09,1.2
6.227769096109045e-09,0.8876817461339802,6.21808815393341e-09,0.8876459358680153,6.212748813330211e-09,0.8889678776157839,6.121869509297278e-09,0.7968320373915591,6.147873691076053e-09,0.8656714487636037,6.227769096109045e-09,1.2,6.21808815393341e-09,1.2,6.212748813330211e-09,1.2,6.121869509297278e-09,1.2,6.147873691076053e-09,1.2
6.252621383500554e-09,0.8929796651224923,6.241525243987572e-09,0.8927007607422466,6.237872222679605e-09,0.8937211238298653,6.144174336192055e-09,0.8507379745973708,6.175156671134204e-09,0.8831403731633777,6.252621383500554e-09,1.2,6.241525243987572e-09,1.2,6.237872222679605e-09,1.2,6.144174336192055e-09,1.2,6.175156671134204e-09,1.2
6.287521793967379e-09,0.8967343886532122,6.273251805121503e-09,0.8963783924004427,6.271858892780661e-09,0.897008824661592,6.165475954713889e-09,0.8732602326514461,6.195128825071096e-09,0.8891832196774777,6.287521793967379e-09,1.2,6.273251805121503e-09,1.2,6.271858892780661e-09,1.2,6.165475954713889e-09,1.2,6.195128825071096e-09,1.2
6.336569374192187e-09,0.8987264088336328,6.321711123376598e-09,0.8986106530677915,6.326027091803359e-09,0.8989143475893413,6.185228016221475e-09,0.8835084285407981,6.220844030590258e-09,0.8939260842677654,6.336569374192187e-09,1.2,6.321711123376598e-09,1.2,6.326027091803359e-09,1.2,6.185228016221475e-09,1.2,6.220844030590258e-09,1.2
6.39605404823498e-09,0.8994041881652174,6.381548525182026e-09,0.8993732321968015,6.384218299483632e-09,0.8994381768601001,6.205581408548796e-09,0.8896558681260507,6.254595698262931e-09,0.8970849540645673,6.39605404823498e-09,1.2,6.381548525182026e-09,1.2,6.384218299483632e-09,1.2,6.205581408548796e-09,1.2,6.254595698262931e-09,1.2
