/time (G=3) X,/time (G=3) Y,/time (G=5) X,/time (G=5) Y,/time (G=7) X,/time (G=7) Y,/time (G=9) X,/time (G=9) Y,/net6 (G=3) X,/net6 (G=3) Y,/net6 (G=5) X,/net6 (G=5) Y,/net6 (G=7) X,/net6 (G=7) Y,/net6 (G=9) X,/net6 (G=9) Y
2.854249672559922e-09,-0.1727648059060483,2.743333333333332e-09,-0.1742366610438653,2.753355261670821e-09,-0.1498337543917015,2.787640034823873e-09,-0.07106062642774562,2.854249672559922e-09,0.001872200718689282,2.743333333333332e-09,0.03991765766875691,2.753355261670821e-09,0.05075054170381536,2.787640034823873e-09,0.04068936071960517
2.8976625256588e-09,-0.1561670910179768,2.772492138234477e-09,-0.1649585953787593,2.784350492192237e-09,-0.1233134140041684,2.805319392588273e-09,-0.03422938670585217,2.8976625256588e-09,-0.01009392242897206,2.772492138234477e-09,0.0306964575158396,2.784350492192237e-09,0.03505002060473142,2.805319392588273e-09,0.02725379642161736
2.944755594291215e-09,-0.1182260568154984,2.799286461506019e-09,-0.1515220092953546,2.804296601497716e-09,-0.09749564484424465,2.834716794123353e-09,0.04016164572166983,2.944755594291215e-09,-0.02301105172561278,2.799286461506019e-09,0.02083671856650818,2.804296601497716e-09,0.02443601423451508,2.834716794123353e-09,0.002330878234728405
2.982980856046477e-09,-0.05949031487333765,2.810492782880796e-09,-0.1439592686658743,2.82336006904088e-09,-0.0643553933257841,2.847219789343645e-09,0.07563236361737879,2.982980856046477e-09,-0.02968974576530026,2.810492782880796e-09,0.01702666119860856,2.82336006904088e-09,0.01371242851911871,2.847219789343645e-09,-0.009748507567837978
3.017092359987754e-09,0.01963826545729922,2.82465973106459e-09,-0.1320825994617919,2.840141474499488e-09,-0.02830655728600498,2.872225779784229e-09,0.1494932060231668,3.017092359987754e-09,-0.03433924014186136,2.82465973106459e-09,0.01174331438317074,2.840141474499488e-09,0.002374729702496666,2.872225779784229e-09,-0.03737747683157545
3.046920315274525e-09,0.103205035012538,2.852993627432179e-09,-0.09742456497164069,2.870723767047427e-09,0.05059544202644433,2.901034977113028e-09,0.2282911301795097,3.046920315274525e-09,-0.03749025438662783,2.852993627432179e-09,-0.001077219186431011,2.870723767047427e-09,-0.02118716811872731,2.901034977113028e-09,-0.07265593041502046
3.077497811916251e-09,0.1926689216736735,2.881641574994806e-09,-0.04461625225870235,2.898931033242461e-09,0.1328846093422736,2.924184063110564e-09,0.2697004915209547,3.077497811916251e-09,-0.04006900376861709,2.881641574994806e-09,-0.01592161274061046,2.898931033242461e-09,-0.04556644336618314,2.924184063110564e-09,-0.1008535474041801
3.106506507153413e-09,0.2577044929466611,2.92298109784174e-09,0.06023129724354877,2.930373104095525e-09,0.2212907716289368,2.94363703478869e-09,0.2860460806302277,3.106506507153413e-09,-0.04234898756646102,2.92298109784174e-09,-0.03948306394609526,2.930373104095525e-09,-0.0725087851185572,2.94363703478869e-09,-0.1181604375184078
3.127211525081269e-09,0.2814408566465502,2.956853704028977e-09,0.1603672054642708,2.955969095291174e-09,0.269278320002857,2.967646967454751e-09,0.2956510734675041,3.127211525081269e-09,-0.04370298887094218,2.956853704028977e-09,-0.05318255068019461,2.955969095291174e-09,-0.0875965105835731,2.967646967454751e-09,-0.1347486790011526
3.148998751751185e-09,0.2929083864703686,2.987517001723652e-09,0.2402068768663292,2.975827600125012e-09,0.2861491737676292,2.98686975722307e-09,0.2996029192575966,3.148998751751185e-09,-0.04448661130163305,2.987517001723652e-09,-0.06263986963062057,2.975827600125012e-09,-0.09701660402762911,2.98686975722307e-09,-0.1464075213950722
3.172173149610502e-09,0.2988536469329607,3.011125289013332e-09,0.2764435361933191,3.00158982502969e-09,0.2962347458439358,3.011106837959033e-09,0.3026446589230563,3.172173149610502e-09,-0.04485511972260976,3.011125289013332e-09,-0.06887526235032679,3.00158982502969e-09,-0.1080448836057523,3.011106837959033e-09,-0.1589424636851157
3.193575292928512e-09,0.301942356920656,3.031424126295312e-09,0.2898947218571362,3.021045735579453e-09,0.2999856129800656,3.042827317466768e-09,0.3048045676375487,3.193575292928512e-09,-0.04500512535555523,3.031424126295312e-09,-0.07310662144884877,3.021045735579453e-09,-0.1148041026707668,3.042827317466768e-09,-0.1716621458787237
3.222424414263079e-09,0.3043585916945781,3.053582685378289e-09,0.2970990880962769,3.038867460961957e-09,0.3022559798791415,3.063699204487904e-09,0.3055687290539891,3.222424414263079e-09,-0.04463799644224471,3.053582685378289e-09,-0.07705474732493052,3.038867460961957e-09,-0.1201030052362924,3.063699204487904e-09,-0.1783610955401301
3.24757059836992e-09,0.3054845600224044,3.07286905057114e-09,0.300577975981456,3.069993585847443e-09,0.3046095472318985,3.105442978530175e-09,0.3063869367938954,3.24757059836992e-09,-0.04312587702639725,3.07286905057114e-09,-0.08007754897408068,3.069993585847443e-09,-0.1277325473422123,3.105442978530175e-09,-0.1901753492582342
3.297862966583603e-09,0.3065487778069597,3.098778140600224e-09,0.3034078750685449,3.114122815753605e-09,0.3060691117686679,3.157916961120281e-09,0.3067631959040203,3.297862966583603e-09,-0.03819132385048216,3.098778140600224e-09,-0.08386730601254538,3.114122815753605e-09,-0.1371097845354284,3.157916961120281e-09,-0.1966650198595139
3.35195235768098e-09,0.3070251661822452,3.134271482602302e-09,0.3053583182685232,3.173556886565226e-09,0.3067231160964722,3.213680131797192e-09,0.3069190136921756,3.35195235768098e-09,-0.03244218351344105,3.134271482602302e-09,-0.08773947598811696,3.173556886565226e-09,-0.1411244019636805,3.213680131797192e-09,-0.1945469942585339
3.429080985159902e-09,0.3085370804582074,3.186344694111687e-09,0.306470915919397,3.212443517470649e-09,0.3068790334381537,3.262014682269814e-09,0.306958224422186,3.429080985159902e-09,-0.0260031186124051,3.186344694111687e-09,-0.08910161706570423,3.212443517470649e-09,-0.1400165531867185,3.262014682269814e-09,-0.1788929155260179
3.506455247585477e-09,0.3156934254019961,3.214960918381507e-09,0.3066937285387311,3.285342192062743e-09,0.3069894280092108,3.289520567905711e-09,0.3069618647198767,3.506455247585477e-09,-0.02004658051951343,3.214960918381507e-09,-0.08849475636001242,3.285342192062743e-09,-0.1208627878451037,3.289520567905711e-09,-0.1658154879439631
3.575407734453673e-09,0.336154759065968,3.272193366921147e-09,0.3069306996083269,3.311734628228475e-09,0.3069909044581056,3.344532339177505e-09,0.3069463237160761,3.575407734453673e-09,-0.015732384148261,3.272193366921147e-09,-0.0799110839272387,3.311734628228475e-09,-0.1109302418360552,3.344532339177505e-09,-0.1389985062296248
3.635501951727814e-09,0.3831190564667588,3.305636721718094e-09,0.3069545081244207,3.364519500559939e-09,0.3069701838054283,3.393428715111748e-09,0.3069111386608583,3.635501951727814e-09,-0.01271270126396054,3.305636721718094e-09,-0.07222130860029213,3.364519500559939e-09,-0.09407868459609386,3.393428715111748e-09,-0.1197516367082426
3.677979474287715e-09,0.4444828209593354,3.368662693033801e-09,0.3069780616258578,3.416195811591745e-09,0.3069210989735834,3.449899327082804e-09,0.3068443481793685,3.677979474287715e-09,-0.01054718223918712,3.368662693033801e-09,-0.05953256775183846,3.416195811591745e-09,-0.0800257241606874,3.449899327082804e-09,-0.09902438793887552
3.717372940779972e-09,0.5207120010289896,3.428686197520874e-09,0.3070160796384926,3.479101978949842e-09,0.3068626691517861,3.509766924601583e-09,0.3067638670872452,3.717372940779972e-09,-0.008659322054521355,3.428686197520874e-09,-0.04952926560491257,3.479101978949842e-09,-0.06403646270252338,3.509766924601583e-09,-0.07798357482071996
3.745885102424053e-09,0.5831671182165145,3.491602692598008e-09,0.3075338687152543,3.539710081977926e-09,0.3068960301880904,3.587174273800324e-09,0.3067562693544966,3.745885102424053e-09,-0.007433363292502661,3.491602692598008e-09,-0.03972109935057909,3.539710081977926e-09,-0.05000155585729144,3.587174273800324e-09,-0.05781740764006035
3.777221193187033e-09,0.6476187652763123,3.560047100295869e-09,0.3110841482851648,3.600838909707143e-09,0.307561573974763,3.625572331435999e-09,0.3069492434379527,3.777221193187033e-09,-0.006453470967683933,3.560047100295869e-09,-0.03060641866705817,3.600838909707143e-09,-0.0402196259531852,3.625572331435999e-09,-0.04921904457367108
3.802155956765679e-09,0.6802160233921269,3.616776171704414e-09,0.3207747438587716,3.632061375119321e-09,0.3087296824200886,3.69131836444938e-09,0.309108893537667,3.802155956765679e-09,-0.005702841638122983,3.616776171704414e-09,-0.02505419048015731,3.632061375119321e-09,-0.03519872968838935,3.69131836444938e-09,-0.03549514944798451
3.823292488827997e-09,0.6929466646232717,3.681975891871277e-09,0.3514049021604879,3.662384645944327e-09,0.3111429182639185,3.755174076584474e-09,0.317598992520642,3.823292488827997e-09,-0.005173650260816613,3.681975891871277e-09,-0.01865255996254429,3.662384645944327e-09,-0.03053635446097652,3.755174076584474e-09,-0.02413110590256421
3.833151656133659e-09,0.6965125061257391,3.729958396885173e-09,0.4032732838297429,3.723031187594338e-09,0.3228680007267054,3.82244980376512e-09,0.3450189651259755,3.833151656133659e-09,-0.00492410934436342,3.729958396885173e-09,-0.01454591711121392,3.723031187594338e-09,-0.02214384270673192,3.82244980376512e-09,-0.01631532951223253
