/hit (dt=0) X,/hit (dt=0) Y,/hit (dt=0.004) X,/hit (dt=0.004) Y,/hit (dt=0.008) X,/hit (dt=0.008) Y,/hit (dt=0.012) X,/hit (dt=0.012) Y,/hit (dt=0.016) X,/hit (dt=0.016) Y,/hit (dt=0.02) X,/hit (dt=0.02) Y,/net8 (dt=0) X,/net8 (dt=0) Y,/net8 (dt=0.004) X,/net8 (dt=0.004) Y,/net8 (dt=0.008) X,/net8 (dt=0.008) Y,/net8 (dt=0.012) X,/net8 (dt=0.012) Y,/net8 (dt=0.016) X,/net8 (dt=0.016) Y,/net8 (dt=0.02) X,/net8 (dt=0.02) Y
2.4568578517083e-09,0.8642192029198009,2.433495258908856e-09,0.8390704913035815,2.436916629441822e-09,0.855557617969677,2.478989545440996e-09,0.8874380441479619,2.470153457687155e-09,0.8864575943351357,2.417725634442026e-09,0.8572672334637345,2.4568578517083e-09,0.6,2.433495258908856e-09,0.604,2.436916629441822e-09,0.608,2.478989545440996e-09,0.612,2.470153457687155e-09,0.616,2.417725634442026e-09,0.62
2.481305741494027e-09,0.8812069343750775,2.453428469285607e-09,0.8665339326669923,2.458116274644388e-09,0.8754613362797584,2.501820788304107e-09,0.8924939488673307,2.493201888356402e-09,0.8919950068747575,2.43951072322933e-09,0.8766357124957509,2.481305741494027e-09,0.6,2.453428469285607e-09,0.604,2.458116274644388e-09,0.608,2.501820788304107e-09,0.612,2.493201888356402e-09,0.616,2.43951072322933e-09,0.62
2.500932610316606e-09,0.8880086590366679,2.480429954646311e-09,0.8833787899782777,2.481049096097012e-09,0.8859068955763179,2.532328577709046e-09,0.8961829988157906,2.524489485160906e-09,0.8960010362599523,2.460556985259579e-09,0.8858719334524616,2.500932610316606e-09,0.6,2.480429954646311e-09,0.604,2.481049096097012e-09,0.608,2.532328577709046e-09,0.612,2.524489485160906e-09,0.616,2.460556985259579e-09,0.62
2.524539881984111e-09,0.8929536183511284,2.499716033043869e-09,0.8891758696448101,2.5018921583719e-09,0.8911881956704399,2.578706307854472e-09,0.8984979933658032,2.568533224930397e-09,0.89836495134004,2.482032531708814e-09,0.8913128770826817,2.524539881984111e-09,0.6,2.499716033043869e-09,0.604,2.5018921583719e-09,0.608,2.578706307854472e-09,0.612,2.568533224930397e-09,0.616,2.482032531708814e-09,0.62
2.555936217800995e-09,0.8964748734692614,2.524800629095277e-09,0.8938364874723089,2.529993900923784e-09,0.8953022466183826,2.636959601493753e-09,0.8993351800435797,2.626769413503679e-09,0.8993062509505073,2.510319479686997e-09,0.89538380907257,2.555936217800995e-09,0.6,2.524800629095277e-09,0.604,2.529993900923784e-09,0.608,2.636959601493753e-09,0.612,2.626769413503679e-09,0.616,2.510319479686997e-09,0.62
2.60459578162158e-09,0.8986493263120775,2.557551593840985e-09,0.8969818273456774,2.569992005347252e-09,0.8979678891858522,2.698325219100422e-09,0.899585004994877,2.686493282370611e-09,0.8995688914276837,2.551697150140139e-09,0.8980551018623999,2.60459578162158e-09,0.6,2.557551593840985e-09,0.604,2.569992005347252e-09,0.608,2.698325219100422e-09,0.612,2.686493282370611e-09,0.616,2.551697150140139e-09,0.62
2.661832835286904e-09,0.8993646485096383,2.611980657390532e-09,0.8989168748963512,2.627450321878672e-09,0.8992047470373883,2.759654378180745e-09,0.899640220052028,2.748513141002302e-09,0.8996399407648086,2.608786263825587e-09,0.8992198310263233,2.661832835286904e-09,0.6,2.611980657390532e-09,0.604,2.627450321878672e-09,0.608,2.759654378180745e-09,0.612,2.748513141002302e-09,0.616,2.608786263825587e-09,0.62
2.7254688007446e-09,0.8996007534275305,2.667863579908793e-09,0.8994239286928469,2.684474353058318e-09,0.8995229627291141,2.825813890988729e-09,0.8996521827287001,2.815018635416319e-09,0.8996506562875833,2.666255744943934e-09,0.8995326205653533,2.7254688007446e-09,0.6,2.667863579908793e-09,0.604,2.684474353058318e-09,0.608,2.825813890988729e-09,0.612,2.815018635416319e-09,0.616,2.666255744943934e-09,0.62
2.790443169689347e-09,0.899641745362494,2.738871154267991e-09,0.8996312275417437,2.709745577201171e-09,0.8995888889895006,2.898248396122348e-09,0.8996551213541609,2.886291013139252e-09,0.8996561814375835,2.731740761508468e-09,0.8996385166540383,2.790443169689347e-09,0.6,2.738871154267991e-09,0.604,2.709745577201171e-09,0.608,2.898248396122348e-09,0.612,2.886291013139252e-09,0.616,2.731740761508468e-09,0.62
2.856572983947046e-09,0.8996537946127869,2.819270956508864e-09,0.8996513114246512,2.760288025486878e-09,0.8996379143081357,3.008818462640103e-09,0.8996547845406128,2.990628370573345e-09,0.89965421666955,2.800010249075345e-09,0.8996482385029055,2.856572983947046e-09,0.6,2.819270956508864e-09,0.604,2.760288025486878e-09,0.608,3.008818462640103e-09,0.612,2.990628370573345e-09,0.616,2.800010249075345e-09,0.62
2.931369012663749e-09,0.8996540857039117,2.886692219356704e-09,0.8996565044409746,2.81904221779281e-09,0.8996532415230443,3.229958595675613e-09,0.8996547382582767,3.199303085441529e-09,0.8996554885509678,2.869608997774562e-09,0.8996582336576351,2.931369012663749e-09,0.6,2.886692219356704e-09,0.604,2.81904221779281e-09,0.608,3.229958595675613e-09,0.612,3.199303085441529e-09,0.616,2.869608997774562e-09,0.62
3.053290876847207e-09,0.8996553722310264,2.974060618324321e-09,0.8996534539981649,2.905790696482981e-09,0.8996565775444293,3.557256570657228e-09,0.8996546065620024,3.493728457928912e-09,0.8996540470749144,2.964018381854917e-09,0.8996534211678279,3.053290876847207e-09,0.6,2.974060618324321e-09,0.604,2.905790696482981e-09,0.608,3.557256570657228e-09,0.612,3.493728457928912e-09,0.616,2.964018381854917e-09,0.62
3.297134605214124e-09,0.8996540931494813,3.11283646005086e-09,0.8996560206500591,3.009093980078671e-09,0.8996549310779937,4.211852520620457e-09,0.8996544798770062,4.082579202903677e-09,0.8996550234920954,3.152837150015629e-09,0.8996568120789733,3.297134605214124e-09,0.6,3.11283646005086e-09,0.604,3.009093980078671e-09,0.608,4.211852520620457e-09,0.612,4.082579202903677e-09,0.616,3.152837150015629e-09,0.62
3.679195615548461e-09,0.8996551183786581,3.390388143503938e-09,0.8996532721960563,3.215700547270051e-09,0.8996550037605533,4.911852520620457e-09,0.8996546705289855,4.782579202903677e-09,0.8996541786499738,3.392718867109153e-09,0.8996532664639693,3.679195615548461e-09,0.6,3.390388143503938e-09,0.604,3.215700547270051e-09,0.608,4.911852520620457e-09,0.612,4.782579202903677e-09,0.616,3.392718867109153e-09,0.62
4.379195615548461e-09,0.8996539729964165,3.88152553811754e-09,0.8996558617815302,3.502491578119871e-09,0.8996547301039098,5.611852520620456e-09,0.8996543780745472,5.482579202903677e-09,0.89965484437239,3.867018304948974e-09,0.8996558671971394,4.379195615548461e-09,0.6,3.88152553811754e-09,0.604,3.502491578119871e-09,0.608,5.611852520620456e-09,0.612,5.482579202903677e-09,0.616,3.867018304948974e-09,0.62
5.079195615548461e-09,0.8996551344610799,4.58152553811754e-09,0.8996532228671772,4.031963655318644e-09,0.899654401036918,6.311852520620456e-09,0.8996547320929089,6.182579202903677e-09,0.8996542923111892,4.567018304948975e-09,0.8996535502898086,5.079195615548461e-09,0.6,4.58152553811754e-09,0.604,4.031963655318644e-09,0.608,6.311852520620456e-09,0.612,6.182579202903677e-09,0.616,4.567018304948975e-09,0.62
