/hit (dt=0) X,/hit (dt=0) Y,/hit (dt=0.004) X,/hit (dt=0.004) Y,/hit (dt=0.008) X,/hit (dt=0.008) Y,/hit (dt=0.012) X,/hit (dt=0.012) Y,/hit (dt=0.016) X,/hit (dt=0.016) Y,/hit (dt=0.02) X,/hit (dt=0.02) Y,/net8 (dt=0) X,/net8 (dt=0) Y,/net8 (dt=0.004) X,/net8 (dt=0.004) Y,/net8 (dt=0.008) X,/net8 (dt=0.008) Y,/net8 (dt=0.012) X,/net8 (dt=0.012) Y,/net8 (dt=0.016) X,/net8 (dt=0.016) Y,/net8 (dt=0.02) X,/net8 (dt=0.02) Y
8.878875681131719e-09,7.236764134486108e-06,5.616440946073916e-09,0.1220548718228794,4.326908337410977e-09,0.2986206013046888,3.806453581005513e-09,0.5817104213604177,3.487325078148685e-09,0.6880937213725745,3.343714308005761e-09,0.8724000823292046,8.878875681131719e-09,0.4,5.616440946073916e-09,0.404,4.326908337410977e-09,0.408,3.806453581005513e-09,0.412,3.487325078148685e-09,0.416,3.343714308005761e-09,0.42
9.578875681131718e-09,1.151229059799324e-05,5.701757283428482e-09,0.2022358159457779,4.377882154454938e-09,0.4490387388183639,3.843173740443829e-09,0.7281175723665477,3.520500991914614e-09,0.806827161382604,3.372619909760178e-09,0.8856133736756431,9.578875681131718e-09,0.4,5.701757283428482e-09,0.404,4.377882154454938e-09,0.408,3.843173740443829e-09,0.412,3.520500991914614e-09,0.416,3.372619909760178e-09,0.42
1.027887568113172e-08,1.724684692463766e-05,5.790775464314979e-09,0.3293968521548601,4.435195293500752e-09,0.6344705188858867,3.877333007933751e-09,0.8241104080080064,3.544347014415951e-09,0.8521894457893233,3.394234532212199e-09,0.8907985465392168,1.027887568113172e-08,0.4,5.790775464314979e-09,0.404,4.435195293500752e-09,0.408,3.877333007933751e-09,0.412,3.544347014415951e-09,0.416,3.394234532212199e-09,0.42
1.097887568113172e-08,2.397628577028902e-05,5.893523730264731e-09,0.5082203059390629,4.480299661750935e-09,0.7678960605520043,3.901458973438159e-09,0.8561514225170981,3.567788541756376e-09,0.8724872752201436,3.425009302305931e-09,0.8951909109483231,1.097887568113172e-08,0.4,5.893523730264731e-09,0.404,4.480299661750935e-09,0.408,3.901458973438159e-09,0.412,3.567788541756376e-09,0.416,3.425009302305931e-09,0.42
1.148943784056586e-08,2.932036897391771e-05,5.973391935045941e-09,0.6539134266396014,4.519921628918328e-09,0.8377900284248242,3.930018258961358e-09,0.8749150832863006,3.596331241338725e-09,0.8848659827118258,3.466596578100883e-09,0.8978987381724862,1.148943784056586e-08,0.4,5.973391935045941e-09,0.404,4.519921628918328e-09,0.408,3.930018258961358e-09,0.412,3.596331241338725e-09,0.416,3.466596578100883e-09,0.42
1.2e-08,3.475984910386612e-05,6.052929077871791e-09,0.7773024067782341,4.549916131683731e-09,0.859934212063965,3.954572280383113e-09,0.8838375780549518,3.619263189180869e-09,0.8904034237415733,3.530416744730329e-09,0.8992201272486758,1.2e-08,0.4,6.052929077871791e-09,0.404,4.549916131683731e-09,0.408,3.954572280383113e-09,0.412,3.619263189180869e-09,0.416,3.530416744730329e-09,0.42
1.204375e-08,3.777435964497276e-05,6.116861438689129e-09,0.8307137328048204,4.564913383066433e-09,0.8674431968931954,3.983084272440463e-09,0.8902960782873549,3.652093903158968e-09,0.8950488827448015,3.589845852837382e-09,0.8995159517040574,1.204375e-08,0.3941666666666669,6.116861438689129e-09,0.404,4.564913383066433e-09,0.408,3.983084272440463e-09,0.412,3.652093903158968e-09,0.416,3.589845852837382e-09,0.42
1.213125e-08,5.290114249150985e-05,6.169682465531153e-09,0.8504548940426424,4.591765985764144e-09,0.8775001919176081,4.022205676438686e-09,0.8951933053350015,3.697553173724291e-09,0.8979109872896835,3.616516657335718e-09,0.8995834950160548,1.213125e-08,0.3825000000000002,6.169682465531153e-09,0.404,4.591765985764144e-09,0.408,4.022205676438686e-09,0.412,3.697553173724291e-09,0.416,3.616516657335718e-09,0.42
1.221185175100659e-08,8.578257447686442e-05,6.220290366753981e-09,0.8649522292558508,4.632700438090027e-09,0.8871768200862818,4.07913710275383e-09,0.8981557408023574,3.762762206032236e-09,0.899204868766428,3.66985826633239e-09,0.8996282761247302,1.221185175100659e-08,0.3717530998657878,6.220290366753981e-09,0.404,4.632700438090027e-09,0.408,4.07913710275383e-09,0.412,3.762762206032236e-09,0.416,3.66985826633239e-09,0.42
1.229467206505871e-08,0.0001039116990191914,6.269115003488749e-09,0.8745899408273626,4.689506711926985e-09,0.8941085550282238,4.150649210085824e-09,0.8992334951309537,3.824839162322498e-09,0.8995087242217848,3.731598083202611e-09,0.8996446958468166,1.229467206505871e-08,0.360710391325506,6.269115003488749e-09,0.404,4.689506711926985e-09,0.408,4.150649210085824e-09,0.412,3.824839162322498e-09,0.416,3.731598083202611e-09,0.42
1.232986435413631e-08,7.50752982626968e-05,6.366764276958285e-09,0.8865595395575383,4.757233644931024e-09,0.8975880319824688,4.221373979392891e-09,0.8995198696621425,3.852360442702792e-09,0.8995751714747737,3.82466511542939e-09,0.8996480589072736,1.232986435413631e-08,0.356018086115159,6.366764276958285e-09,0.404,4.757233644931024e-09,0.408,4.221373979392891e-09,0.412,3.852360442702792e-09,0.416,3.82466511542939e-09,0.42
1.23931749841327e-08,3.093141944929536e-05,6.470223970974275e-09,0.8929468696323055,4.841285669416233e-09,0.8989853910311417,4.253126257572007e-09,0.899564050511786,3.907403003463382e-09,0.8996208142665055,3.935181140923458e-09,0.8996487380982263,1.23931749841327e-08,0.3475766687823075,6.470223970974275e-09,0.404,4.841285669416233e-09,0.408,4.253126257572007e-09,0.412,3.907403003463382e-09,0.416,3.935181140923458e-09,0.42
1.245043154992111e-08,1.884517989793138e-05,6.607662655824093e-09,0.8968847928877755,4.930720900429824e-09,0.8993992984943484,4.31663081393024e-09,0.899607605749132,3.971542034003801e-09,0.8996385557667318,4.156213191911593e-09,0.8996496903955131,1.245043154992111e-08,0.3399424600105189,6.607662655824093e-09,0.404,4.930720900429824e-09,0.408,4.31663081393024e-09,0.412,3.971542034003801e-09,0.416,4.156213191911593e-09,0.42
1.25223211833586e-08,1.043231502078698e-05,6.771945107946479e-09,0.8985014574405036,4.963852930231652e-09,0.8994546859323338,4.390046190007881e-09,0.8996202983317831,4.068689398621817e-09,0.8996441134661156,4.460927640310346e-09,0.8996515518583564,1.25223211833586e-08,0.330357175552187,6.771945107946479e-09,0.404,4.963852930231652e-09,0.408,4.390046190007881e-09,0.412,4.068689398621817e-09,0.416,4.460927640310346e-09,0.42
1.260101147400544e-08,6.312569380042784e-06,6.97743895294717e-09,0.8991077005669758,5.030116989835307e-09,0.8995191211366037,4.510496036696781e-09,0.8996338960629371,4.183993569844032e-09,0.8996461188644761,5.03529093649601e-09,0.8996523284331281,1.260101147400544e-08,0.3198651367992746,6.97743895294717e-09,0.404,5.030116989835307e-09,0.408,4.510496036696781e-09,0.412,4.183993569844032e-09,0.416,5.03529093649601e-09,0.42
1.272529702514386e-08,3.315600988864525e-06,7.050638293871454e-09,0.8991608574311057,5.118396051108027e-09,0.8995536355950171,4.651810602306097e-09,0.8996363910117916,4.414601912288463e-09,0.8996490099689386,5.735290936496009e-09,0.8996544856490319,1.272529702514386e-08,0.3032937299808195,7.050638293871454e-09,0.404,5.118396051108027e-09,0.408,4.651810602306097e-09,0.412,4.414601912288463e-09,0.416,5.735290936496009e-09,0.42
